position,state,endorser,endorsee,endorser party,category,points,source
representative,MD,David Trone,John Delaney,D,Representatives,3,twitter
governor,NY,Andrew Cuomo,Joe Biden,D,Governors,8,cnn
senator,CA,Dianne Feinstein,Joe Biden,D,Senators,6,politico
senator,DE,Thomas R. Carper,Joe Biden,D,Senators,6,other
mayor,TX,Ron Nirenberg,Julian Castro,None,Mayors,3,other
DNC member,CA,Laphonza Butler,Kamala Harris,D,DNC members,1,politico
DNC member,DC,James J. Zogby,Bernie Sanders,D,DNC members,1,twitter
lieutenant governor,CA,Eleni Kounalakis,Kamala Harris,D,Statewide officeholders,2,twitter
mayor,CA,Libby Schaaf,Kamala Harris,D,Mayors,3,other
representative,CA,Ted Lieu,Kamala Harris,D,Representatives,3,other
representative,CA,Nanette Diaz Barragán,Kamala Harris,D,Representatives,3,twitter
senator,NJ,Robert Menendez,Cory Booker,D,Senators,6,twitter
governor,NJ,Phil Murphy,Cory Booker,D,Governors,8,other
DNC member,SC,Clay N. Middleton,Cory Booker,D,DNC members,1,other
past vice president,MN,Walter Mondale,Amy Klobuchar,D,Past presidents and vice presidents,10,other
president pro tem,CA,Toni Atkins,Kamala Harris,D,State legislative leaders,2,politico
representative,MA,James McGovern,Elizabeth Warren,D,Representatives,3,twitter
president,MA,Karen Spilka,Elizabeth Warren,D,State legislative leaders,2,other
representative,MA,Joseph P. Kennedy III,Elizabeth Warren,D,Representatives,3,other
representative,MA,Lori Trahan,Elizabeth Warren,D,Representatives,3,other
senator,MA,Edward J. Markey,Elizabeth Warren,D,Senators,6,other
state auditor,MN,Julie Blaha,Amy Klobuchar,D,Statewide officeholders,2,twitter
lieutenant governor,MN,Peggy Flanagan,Amy Klobuchar,D,Statewide officeholders,2,other
speaker,MN,Melissa Hortman,Amy Klobuchar,D,State legislative leaders,2,other
representative,MN,Dean Phillips,Amy Klobuchar,D,Representatives,3,twitter
representative,MN,Angie Craig,Amy Klobuchar,D,Representatives,3,twitter
mayor,MN,Jacob Frey,Amy Klobuchar,D,Mayors,3,other
senator,MN,Tina Smith,Amy Klobuchar,D,Senators,6,youtube
governor,MN,Tim Walz,Amy Klobuchar,D,Governors,8,youtube
representative,CA,Barbara Lee,Kamala Harris,D,Representatives,3,cnn
governor,CA,Gavin Newsom,Kamala Harris,D,Governors,8,politico
lieutenant governor,VT,David Zuckerman,Bernie Sanders,D,Statewide officeholders,2,twitter
representative,VT,Peter Welch,Bernie Sanders,D,Representatives,3,other
senator,VT,Patrick J. Leahy,Bernie Sanders,D,Senators,6,apnews
DNC member,TX,Emmy Ruiz,Kamala Harris,D,DNC members,1,politico
DNC member,DC,Larry Cohen,Bernie Sanders,D,DNC members,1,other
mayor,PR,Carmen Yulín Cruz,Bernie Sanders,D,Mayors,3,twitter
DNC member,OH,Nina Turner,Bernie Sanders,D,DNC members,1,other
DNC member,NJ,Marguerite M. Schaffer,Cory Booker,D,DNC members,1,other
DNC member,NJ,John Currie,Cory Booker,D,DNC members,1,other
lieutenant governor,NJ,Sheila Oliver,Cory Booker,D,Statewide officeholders,2,other
president,NJ,Stephen Sweeney,Cory Booker,D,State legislative leaders,2,other
speaker,NJ,Craig Coughlin,Cory Booker,D,State legislative leaders,2,other
representative,NJ,Bonnie Watson Coleman,Cory Booker,D,Representatives,3,other
representative,NJ,Mikie Sherrill,Cory Booker,D,Representatives,3,other
representative,NJ,Bill Pascrell Jr.,Cory Booker,D,Representatives,3,other
representative,NJ,Albio Sires,Cory Booker,D,Representatives,3,other
representative,NJ,Frank Pallone Jr.,Cory Booker,D,Representatives,3,other
representative,NJ,Josh Gottheimer,Cory Booker,D,Representatives,3,other
representative,NJ,Andy Kim,Cory Booker,D,Representatives,3,other
representative,NJ,Jeff Van Drew,Cory Booker,R,Representatives,3,other
representative,NJ,Donald Norcross,Cory Booker,D,Representatives,3,other
representative,CA,Ro Khanna,Bernie Sanders,D,Representatives,3,other
superintendent of public instruction,CA,Tony Thurmond,Kamala Harris,D,Statewide officeholders,2,politico
insurance commissioner,CA,Ricardo Lara,Kamala Harris,D,Statewide officeholders,2,politico
senator,DE,Christopher A. Coons,Joe Biden,D,Senators,6,other
representative,CA,Juan Vargas,John Delaney,D,Representatives,3,twitter
representative,CA,Julia Brownley,Kamala Harris,D,Representatives,3,other
attorney general,WA,Bob Ferguson,Jay Inslee,D,Statewide officeholders,2,other
representative,WA,Rick Larsen,Jay Inslee,D,Representatives,3,other
attorney general,DC,Karl Racine,Kamala Harris,D,Statewide officeholders,2,other
representative,TX,Veronica Escobar,Beto O'Rourke,D,Representatives,3,other
representative,NY,Carolyn Maloney,Kirsten Gillibrand,D,Representatives,3,twitter
DNC member,CA,Susie A. Shannon,Bernie Sanders,D,DNC members,1,other
former DNC chair,MA,Steven Grossman,Pete Buttigieg,D,Former party leaders,5,other
DNC member,NJ,Bernadette P. McPherson,Cory Booker,D,DNC members,1,other
DNC member,NJ,John Graham,Cory Booker,D,DNC members,1,other
DNC member,OH,Nan Whaley,Pete Buttigieg,D,DNC members,1,other
mayor,TX,Steve Adler,Pete Buttigieg,D,Mayors,3,other
DNC member,MI,Michelle Deatrick,Bernie Sanders,D,DNC members,1,other
DNC member,MA,Kate Donaghue,Elizabeth Warren,D,DNC members,1,other
representative,MA,Stephen F. Lynch,Joe Biden,D,Representatives,3,twitter
former DNC chair,PA,Ed Rendell,Joe Biden,D,Former party leaders,5,twitter
representative,VA,Don Beyer,Pete Buttigieg,D,Representatives,3,other
representative,PA,Matt Cartwright,Joe Biden,D,Representatives,3,other
DNC member,DC,Symone Sanders,Joe Biden,D,DNC members,1,apnews
DNC member,DC,Cristobal J. Alex,Joe Biden,D,DNC members,1,twitter
attorney general,DE,Kathy Jennings,Joe Biden,D,Statewide officeholders,2,other
representative,PA,Dwight Evans,Joe Biden,D,Representatives,3,other
representative,PA,Brendan Boyle,Joe Biden,D,Representatives,3,twitter
representative,NY,Thomas Suozzi,Joe Biden,D,Representatives,3,twitter
representative,LA,Cedric Richmond,Joe Biden,D,Representatives,3,other
representative,DE,Lisa Blunt Rochester,Joe Biden,D,Representatives,3,twitter
senator,PA,Robert P. Casey Jr.,Joe Biden,D,Senators,6,twitter
senator,AL,Doug Jones,Joe Biden,D,Senators,6,twitter
governor,DE,John Carney,Joe Biden,D,Governors,8,other
past presidential nominee,MA,Michael Dukakis,Elizabeth Warren,D,Past nominees,5,other
representative,VA,A. Donald McEachin,Joe Biden,D,Representatives,3,other
state controller,NV,Catherine Byrne,Elizabeth Warren,D,Statewide officeholders,2,twitter
representative,TX,Filemon Vela,Joe Biden,D,Representatives,3,twitter
former U.S. Senate majority leader,SD,Tom Daschle,Joe Biden,D,Former party leaders,5,other
representative,WA,Kim Schrier,Jay Inslee,D,Representatives,3,twitter
speaker,CA,Anthony Rendon,Kamala Harris,D,State legislative leaders,2,twitter
representative,FL,Al Lawson,Joe Biden,D,Representatives,3,politico
senator,MT,Jon Tester,Steve Bullock,D,Senators,6,other
DNC member,NJ,George E. Norcross III,Cory Booker,D,DNC members,1,other
representative,CA,Jim Costa,Kamala Harris,D,Representatives,3,other
representative,WA,Derek Kilmer,Jay Inslee,D,Representatives,3,twitter
representative,TX,Al Green,Kamala Harris,D,Representatives,3,politico
representative,MO,William Lacy Clay Jr.,Kamala Harris,D,Representatives,3,cnn
DNC member,IA,Jan M. Bauer,Steve Bullock,D,DNC members,1,politico
DNC member,MI,Barry J. Goodman,Joe Biden,D,DNC members,1,twitter
attorney general,MN,Keith Ellison,Bernie Sanders,D,Statewide officeholders,2,twitter
representative,MN,Collin C. Peterson,Amy Klobuchar,D,Representatives,3,other
mayor,GA,Keisha Lance Bottoms,Joe Biden,D,Mayors,3,other
governor,CT,Ned Lamont,Joe Biden,D,Governors,8,other
representative,CT,Jahana Hayes,Kamala Harris,D,Representatives,3,other
minority leader,GA,Robert Trammell,Kamala Harris,D,State legislative leaders,2,other
minority leader,TN,Jeff Yarbro,Pete Buttigieg,D,State legislative leaders,2,other
former U.S. House Democratic whip,MI,David Bonior,Elizabeth Warren,D,Former party leaders,5,twitter
DNC member,VA,Leopoldo J. Martinez,Joe Biden,D,DNC members,1,cnn
representative,TX,Eddie Bernice Johnson,Joe Biden,D,Representatives,3,politico
mayor,MI,Mike Duggan,Joe Biden,D,Mayors,3,apnews
DNC member,VT,Mary M. Sullivan,Bernie Sanders,D,DNC members,1,twitter
state auditor,VT,Doug Hoffer,Bernie Sanders,D,Statewide officeholders,2,twitter
state treasurer,VT,Beth Pearce,Bernie Sanders,D,Statewide officeholders,2,twitter
attorney general,VT,T.J. Donovan,Bernie Sanders,D,Statewide officeholders,2,twitter
president pro tem,VT,Tim Ashe,Bernie Sanders,D,State legislative leaders,2,twitter
DNC member,TN,William Owen,Joe Biden,D,DNC members,1,other
representative,NM,Debra A. Haaland,Elizabeth Warren,D,Representatives,3,twitter
representative,MI,Andy Levin,Elizabeth Warren,D,Representatives,3,twitter
representative,MA,Katherine Clark,Elizabeth Warren,D,Representatives,3,twitter
representative,AZ,Raul Grijalva,Elizabeth Warren,D,Representatives,3,twitter
representative,MI,Brenda Lawrence,Kamala Harris,D,Representatives,3,other
minority leader,ND,Josh Boschee,Pete Buttigieg,D,State legislative leaders,2,other
state treasurer,IL,Mike Frerichs,Elizabeth Warren,D,Statewide officeholders,2,other
representative,OH,Marcia L. Fudge,Kamala Harris,D,Representatives,3,other
representative,CA,J. Luis Correa,Joe Biden,D,Representatives,3,other
DNC member,MO,Curtis Wylde,Bernie Sanders,D,DNC members,1,twitter
president,ME,Troy Jackson,Bernie Sanders,D,State legislative leaders,2,youtube
representative,MD,Jamie Raskin,Elizabeth Warren,D,Representatives,3,other
DNC member,FL,Nikki Ford Barnes,Cory Booker,D,DNC members,1,twitter
attorney general,MA,Maura Healey,Elizabeth Warren,D,Statewide officeholders,2,twitter
Democratic caucus chairman,MS,Derrick T. Simmons,Joe Biden,D,State legislative leaders,2,other
representative,AZ,Ruben Gallego,Kamala Harris,D,Representatives,3,other
representative,TX,Vicente Gonzalez,Joe Biden,D,Representatives,3,politico
state treasurer,IA,Michael Fitzgerald,Elizabeth Warren,D,Statewide officeholders,2,apnews
mayor,OH,John Cranley,Pete Buttigieg,D,Mayors,3,other
representative,NC,G.K. Butterfield,Joe Biden,D,Representatives,3,twitter
representative,MO,Emanuel Cleaver,Joe Biden,D,Representatives,3,twitter
representative,FL,Charlie Crist,Joe Biden,D,Representatives,3,twitter
DNC member,NV,Alex Goff,Elizabeth Warren,D,DNC members,1,twitter
minority leader,MN,Tom Bakk,Amy Klobuchar,D,State legislative leaders,2,4president
representative,MN,Betty McCollum,Amy Klobuchar,D,Representatives,3,4president
representative,MN,Ilhan Omar,Bernie Sanders,D,Representatives,3,twitter
former DNC chair,CT,Chris Dodd,Joe Biden,D,Former party leaders,5,other
representative,NY,Alexandria Ocasio-Cortez,Bernie Sanders,D,Representatives,3,other
DNC member,CO,Terry L. Tucker,Bernie Sanders,D,DNC members,1,other
DNC member,CO,Jeri D. Shepherd,Bernie Sanders,D,DNC members,1,other
mayor,PA,James F. Kenney,Elizabeth Warren,D,Mayors,3,twitter
representative,CA,Katie Porter,Elizabeth Warren,D,Representatives,3,twitter
representative,MI,Rashida Tlaib,Bernie Sanders,D,Representatives,3,twitter
former DNC chair,CO,Roy Romer,Michael Bennet,D,Former party leaders,5,other
representative,MA,Ayanna Pressley,Elizabeth Warren,D,Representatives,3,other
representative,TX,Marc Veasey,Joe Biden,D,Representatives,3,politico
Former 2020 candidate,OH,Tim Ryan,Joe Biden,D,Candidates who have dropped out,5,other
representative,OR,Kurt Schrader,Joe Biden,D,Representatives,3,other
DNC member,TX,Celina Vasquez,Julian Castro,D,DNC members,1,4president
DNC member,GA,Ted Terry,Bernie Sanders,D,DNC members,1,twitter
delegate,VI,Stacey E. Plaskett,Kamala Harris,D,Representatives,3,4president
representative,CA,Salud Carbajal,Kamala Harris,D,Representatives,3,politico
mayor,KY,Greg Fischer,Michael Bloomberg,D,Mayors,3,other
representative,NV,Dina Titus,Joe Biden,D,Representatives,3,twitter
representative,IN,Peter Visclosky,Pete Buttigieg,D,Representatives,3,other
DNC member,CA,Kerman Maddox,Joe Biden,D,DNC members,1,4president
minority leader,FL,Audrey Gibson,Joe Biden,D,State legislative leaders,2,politico
representative,NY,Kathleen Rice,Pete Buttigieg,D,Representatives,3,cnn
representative,IL,Jan Schakowsky,Elizabeth Warren,D,Representatives,3,other
representative,CA,John Garamendi,Joe Biden,D,Representatives,3,4president
representative,CA,Ami Bera,Joe Biden,D,Representatives,3,other
DNC member,PR,Maria E. Melendez Altieri,Joe Biden,D,DNC members,1,4president
past presidential nominee,MA,John Kerry,Joe Biden,D,Past nominees,5,other
Former 2020 candidate,CO,John Hickenlooper,Michael Bennet,D,Candidates who have dropped out,5,apnews
attorney general,CO,Phil Weiser,Michael Bennet,D,Statewide officeholders,2,other
secretary of state,CT,Denise Merrill,Elizabeth Warren,D,Statewide officeholders,2,other
mayor,CA,Sam Liccardo,Michael Bloomberg,D,Mayors,3,other
mayor,CA,Michael D. Tubbs,Michael Bloomberg,D,Mayors,3,other
DNC member,CA,Bob Mulholland,Joe Biden,D,DNC members,1,twitter
lieutenant governor,RI,Dan McKee,Joe Biden,D,Statewide officeholders,2,4president
representative,CA,Lucille Roybal-Allard,Joe Biden,D,Representatives,3,twitter
mayor,MN,Melvin Carter,Amy Klobuchar,D,Mayors,3,twitter
speaker,NH,Steve Shurtleff,Joe Biden,D,State legislative leaders,2,twitter
DNC member,TX,Carla Brailey,Michael Bloomberg,D,DNC members,1,other
DNC member,PA,Michael A. Nutter,Michael Bloomberg,D,DNC members,1,other
DNC member,DC,Keith Michael Harper,Pete Buttigieg,D,DNC members,1,other
representative,CA,Tony Cárdenas,Joe Biden,D,Representatives,3,apnews
DNC member,MI,Mark LaChey,Pete Buttigieg,D,DNC members,1,twitter
representative,IA,Abby Finkenauer,Joe Biden,D,Representatives,3,twitter
DNC member,DC,Jeff Berman,Tom Steyer,D,DNC members,1,4president
representative,VA,Elaine Luria,Joe Biden,D,Representatives,3,other
representative,PA,Conor Lamb,Joe Biden,D,Representatives,3,other
representative,PA,Chrissy Houlahan,Joe Biden,D,Representatives,3,other
Former 2020 candidate,TX,Julian Castro,Elizabeth Warren,D,Candidates who have dropped out,5,twitter
DNC member,MO,Megan E. Green,Bernie Sanders,D,DNC members,1,twitter
DNC member,NH,Martha Fuller Clark,Joe Biden,D,DNC members,1,twitter
DNC member,NV,Allison A. Stephens,Elizabeth Warren,D,DNC members,1,twitter
representative,MD,Anthony Brown,Pete Buttigieg,D,Representatives,3,other
mayor,CA,Robert Garcia,Joe Biden,D,Mayors,3,other
mayor,CA,Eric Garcetti,Joe Biden,D,Mayors,3,other
DNC member,CA,Alexandra Gallardo Rooker,Michael Bloomberg,D,DNC members,1,apnews
mayor,TN,Jim Strickland,Michael Bloomberg,D,Mayors,3,other
representative,IA,David Loebsack,Pete Buttigieg,D,Representatives,3,other
attorney general,IA,Tom Miller,Joe Biden,D,Statewide officeholders,2,other
representative,TX,Colin Allred,Joe Biden,D,Representatives,3,other
representative,NY,Sean Patrick Maloney,Joe Biden,D,Representatives,3,other
representative,NY,Max N. Rose,Michael Bloomberg,D,Representatives,3,other
mayor,CO,Michael Hancock,Michael Bennet,D,Mayors,3,other
representative,TX,Joaquin Castro,Elizabeth Warren,D,Representatives,3,twitter
representative,NJ,Tom Malinowski,Joe Biden,D,Representatives,3,other
representative,NH,Ann Kuster,Pete Buttigieg,D,Representatives,3,other
representative,WI,Mark Pocan,Bernie Sanders,D,Representatives,3,apnews
representative,FL,Stephanie Murphy,Michael Bloomberg,D,Representatives,3,politico
lieutenant governor,CT,Susan Bysiewicz,Joe Biden,D,Statewide officeholders,2,other
representative,CA,Harley Rouda,Michael Bloomberg,D,Representatives,3,other
representative,AL,Terri A. Sewell,Joe Biden,D,Representatives,3,politico
minority leader,IA,Janet Petersen,Elizabeth Warren,D,State legislative leaders,2,other
representative,WA,Pramila Jayapal,Bernie Sanders,D,Representatives,3,other
DNC member,TX,Jose R. Rodriguez,Elizabeth Warren,D,DNC members,1,other
DNC member,NH,Kathleen Sullivan,Elizabeth Warren,D,DNC members,1,twitter
DNC member,IA,Sandy Opstvedt,Joe Biden,D,DNC members,1,twitter
speaker pro tem,TX,Joe Moody,Elizabeth Warren,D,State legislative leaders,2,other
representative,NJ,Donald Payne Jr.,Joe Biden,D,Representatives,3,politico
representative,IL,Bobby L. Rush,Michael Bloomberg,D,Representatives,3,other
representative,GA,Sanford D. Bishop Jr.,Joe Biden,D,Representatives,3,politico
representative,FL,Frederica Wilson,Joe Biden,D,Representatives,3,politico
representative,FL,Alcee L. Hastings,Joe Biden,D,Representatives,3,politico
mayor,CA,Rusty Bailey,Michael Bloomberg,None,Mayors,3,politico
mayor,CA,Darrell Steinberg,Joe Biden,D,Mayors,3,other
DNC member,WI,Khary Penebaker,Michael Bloomberg,D,DNC members,1,twitter
DNC member,NH,William H. Shaheen,Joe Biden,D,DNC members,1,other
mayor,CA,London Breed,Michael Bloomberg,D,Mayors,3,other
president,CO,Leroy Garcia,Joe Biden,D,State legislative leaders,2,4president
representative,IA,Cindy Axne,Joe Biden,D,Representatives,3,other
speaker,RI,Nicholas Mattiello,Joe Biden,D,State legislative leaders,2,other
representative,MA,Seth Moulton,Joe Biden,D,Representatives,3,other
representative,CA,Scott Peters,Michael Bloomberg,D,Representatives,3,politico
commissioner of labor and industries,OR,Val Hoyle,Elizabeth Warren,D,Statewide officeholders,2,other
speaker,OR,Tina Kotek,Elizabeth Warren,D,State legislative leaders,2,other
representative,NC,Alma Adams,Joe Biden,D,Representatives,3,other
representative,IL,Bradley Schneider,Joe Biden,D,Representatives,3,other
mayor,DC,Muriel Bowser,Michael Bloomberg,D,Governors,8,other
representative,UT,Ben McAdams,Michael Bloomberg,D,Representatives,3,twitter
former DNC chair,MA,Paul Kirk,Joe Biden,D,Former party leaders,5,4president
representative,CA,Linda Sánchez,Amy Klobuchar,D,Representatives,3,twitter
representative,IL,Danny K. Davis,Joe Biden,D,Representatives,3,twitter
state treasurer,CA,Fiona Ma,Michael Bloomberg,D,Statewide officeholders,2,twitter
state comptroller,CT,Kevin Lembo,Elizabeth Warren,D,Statewide officeholders,2,other
secretary of state,CA,Alex Padilla,Joe Biden,D,Statewide officeholders,2,twitter
minority leader,AR,Fredrick Love,Joe Biden,D,State legislative leaders,2,4president
DNC member,NY,Christine Quinn,no_endorsee,D,DNC members,1,other
DNC member,GA,Louis Elrod,no_endorsee,D,DNC members,1,other
DNC member,GA,Wendy Davis,no_endorsee,D,DNC members,1,other
DNC member,FL,Craig Smith,no_endorsee,D,DNC members,1,other
DNC member,FL,Casmore Shaw,no_endorsee,D,DNC members,1,other
DNC member,FL,Terrie Lorraine Rizzo,no_endorsee,D,DNC members,1,other
DNC member,FL,John A. Ramos,no_endorsee,D,DNC members,1,other
DNC member,FL,Judy C. Mount,no_endorsee,D,DNC members,1,other
DNC member,FL,Maureen A. McKenna,no_endorsee,D,DNC members,1,other
DNC member,FL,Shawn W. Kinsey,no_endorsee,D,DNC members,1,other
DNC member,FL,Mikaela Guido,no_endorsee,D,DNC members,1,other
DNC member,FL,Alma R. Gonzalez,no_endorsee,D,DNC members,1,other
DNC member,FL,Ken N. Evans,no_endorsee,D,DNC members,1,other
DNC member,FL,Alan R. Clendenin,no_endorsee,D,DNC members,1,other
DNC member,FL,Briana L. Cartwright,no_endorsee,D,DNC members,1,other
DNC member,FL,Grace Carrington,no_endorsee,D,DNC members,1,other
DNC member,FL,Cynthia M. Busch,no_endorsee,D,DNC members,1,other
DNC member,FL,Dwight Bullard,no_endorsee,D,DNC members,1,other
DNC member,DC,Charles E. Wilson,no_endorsee,D,DNC members,1,other
DNC member,DC,Rick C. Wade,no_endorsee,D,DNC members,1,other
DNC member,DC,Lee A. Saunders,no_endorsee,D,DNC members,1,other
DNC member,DC,Steve Regenstreif,no_endorsee,D,DNC members,1,other
DNC member,DC,Carrie Pugh,no_endorsee,D,DNC members,1,other
DNC member,DC,Carol J. Pensky,no_endorsee,D,DNC members,1,other
DNC member,DC,Minyon Moore,no_endorsee,D,DNC members,1,other
DNC member,DC,Silvia J. Martinez,no_endorsee,D,DNC members,1,other
DNC member,DC,Claire Lucas,no_endorsee,D,DNC members,1,other
DNC member,DC,Harold Ickes,no_endorsee,D,DNC members,1,other
DNC member,DC,Linda L. Gray,no_endorsee,D,DNC members,1,other
DNC member,DC,Lily L. Eskelsen Garcia,no_endorsee,D,DNC members,1,other
DNC member,DC,Earl D. Fowlkes Jr.,no_endorsee,D,DNC members,1,other
DNC member,DC,Jack Evans,no_endorsee,D,DNC members,1,other
DNC member,DC,Joanne Dowdell,no_endorsee,D,DNC members,1,other
DNC member,DC,Leah Daughtry,no_endorsee,D,DNC members,1,other
DNC member,DC,J. David Cox,no_endorsee,D,DNC members,1,other
DNC member,DC,Alexandra Chalupa,no_endorsee,D,DNC members,1,other
DNC member,DC,Maria Cardona,no_endorsee,D,DNC members,1,other
DNC member,DC,Roxanne D. Brown,no_endorsee,D,DNC members,1,other
DNC member,DC,Calla R. Brown,no_endorsee,D,DNC members,1,other
DNC member,DC,James Joseph Boland,no_endorsee,D,DNC members,1,other
DNC member,DA,Orlando E. Vidal,no_endorsee,D,DNC members,1,other
DNC member,DA,Kenneth E. Sherman,no_endorsee,D,DNC members,1,other
DNC member,DA,Alex Montgomery,no_endorsee,D,DNC members,1,other
DNC member,DA,Martha McDevitt-Pugh,no_endorsee,D,DNC members,1,other
DNC member,DA,Adrianne R. George,no_endorsee,D,DNC members,1,other
DNC member,DA,John A. Eastwood,no_endorsee,D,DNC members,1,other
DNC member,DA,Julia Bryan,no_endorsee,D,DNC members,1,other
DNC member,DA,Connie Borde,no_endorsee,D,DNC members,1,other
DNC member,DE,Erik Raser-Schramm,no_endorsee,D,DNC members,1,other
DNC member,DE,Elizabeth D. Maron,no_endorsee,D,DNC members,1,other
DNC member,DE,Valerie Longhurst,no_endorsee,D,DNC members,1,other
DNC member,DE,Kerri Evelyn Harris,no_endorsee,D,DNC members,1,other
DNC member,DE,Sean Finnigan,no_endorsee,D,DNC members,1,other
DNC member,CT,Nancy Wyman,no_endorsee,D,DNC members,1,other
DNC member,CT,Erick Russell,no_endorsee,D,DNC members,1,other
DNC member,CT,John W. Olsen,no_endorsee,D,DNC members,1,other
DNC member,CT,Nancy DiNardo,no_endorsee,D,DNC members,1,other
DNC member,CO,Michael F. Hamrick,no_endorsee,D,DNC members,1,other
DNC member,CO,Howard Chou,no_endorsee,D,DNC members,1,other
DNC member,CO,Morgan Carroll,no_endorsee,D,DNC members,1,other
DNC member,CA,Laurence S. Zakson,no_endorsee,D,DNC members,1,other
DNC member,CA,Rosalind Wyman,no_endorsee,D,DNC members,1,other
DNC member,CA,Amy Elaine Wakeland,no_endorsee,D,DNC members,1,other
DNC member,CA,Keith Umemoto,no_endorsee,D,DNC members,1,other
DNC member,CA,Garry S. Shay,no_endorsee,D,DNC members,1,other
DNC member,CA,Rion J. Ramirez,no_endorsee,D,DNC members,1,other
DNC member,CA,Melahat Rafiei,no_endorsee,D,DNC members,1,other
DNC member,CA,John A. Perez,no_endorsee,D,DNC members,1,other
DNC member,CA,Christine Pelosi,no_endorsee,D,DNC members,1,other
DNC member,CA,Sandra M. Lowe,no_endorsee,D,DNC members,1,other
DNC member,CA,Otto O. Lee,no_endorsee,D,DNC members,1,other
DNC member,CA,Andrew Lachman,no_endorsee,D,DNC members,1,other
DNC member,CA,Michael Kapp,no_endorsee,D,DNC members,1,other
DNC member,CA,Lorna M. Johnson,no_endorsee,D,DNC members,1,other
DNC member,CA,Aleita J. Huguenin,no_endorsee,D,DNC members,1,other
DNC member,CA,Alice A. Huffman,no_endorsee,D,DNC members,1,other
DNC member,CA,Rusty Hicks,no_endorsee,D,DNC members,1,other
DNC member,CA,Ron Galperin,no_endorsee,D,DNC members,1,other
DNC member,CA,Maria Echaveste,no_endorsee,D,DNC members,1,other
DNC member,CA,Mary Ellen Early,no_endorsee,D,DNC members,1,other
DNC member,CA,Jesse L. Durfee,no_endorsee,D,DNC members,1,other
DNC member,CA,Becca Doten,no_endorsee,D,DNC members,1,other
DNC member,CA,Steven K. Alari,no_endorsee,D,DNC members,1,other
